gp,100038,富国沪深300指数增强,2020-07-09,2537,2.014,2.37,1.36,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-07-08,2537,1.987,2.343,1.38,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-07-07,2537,1.96,2.316,0.98,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-07-06,2534,1.941,2.297,5.2,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-07-03,2533,1.845,2.201,1.65,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-07-02,2533,1.815,2.171,1.85,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-07-01,2533,1.782,2.138,1.71,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-06-30,2533,1.752,2.108,1.39,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-06-29,2533,1.728,2.084,-0.4,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-24,2528,1.735,2.091,0.7,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-23,2528,1.723,2.079,0.53,开放申购,开放赎回,
zs,100038,富国沪深300指数增强,2020-06-22,2526,1.714,2.07,0.18,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-19,2525,1.711,2.067,1.42,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-18,2525,1.687,2.043,0.6,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-17,2525,1.677,2.033,0.3,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-16,2525,1.672,2.028,1.39,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-15,2525,1.649,2.005,-1.14,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-12,2520,1.668,2.024,0,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-11,2520,1.668,2.024,-1.01,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-10,2520,1.685,2.041,0.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-09,2520,1.684,2.04,0.66,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-08,2520,1.673,2.029,0.3,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-05,2520,1.668,2.024,0.54,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-04,2520,1.659,2.015,-0.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-03,2520,1.66,2.016,-0.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-02,2520,1.661,2.017,0.36,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-06-01,2520,1.655,2.011,2.48,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-29,2510,1.615,1.971,0.19,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-28,2510,1.612,1.968,0.31,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-27,2510,1.607,1.963,-0.56,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-26,2510,1.616,1.972,1.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-25,2510,1.599,1.955,0.31,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-22,2510,1.594,1.95,-2.21,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-21,2510,1.63,1.986,-0.37,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-20,2510,1.636,1.992,-0.61,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-19,2510,1.646,2.002,0.73,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-18,2510,1.634,1.99,0,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-15,2510,1.634,1.99,-0.12,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-14,2510,1.636,1.992,-1.15,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-13,2510,1.655,2.011,0.24,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-12,2510,1.651,2.007,-0.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-11,2510,1.652,2.008,-0.06,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-08,2510,1.653,2.009,0.92,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-07,2510,1.638,1.994,-0.18,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-05-06,2510,1.641,1.997,0.24,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-30,2510,1.637,1.993,0.92,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-29,2510,1.622,1.978,0.5,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-28,2510,1.614,1.97,0.81,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-27,2510,1.601,1.957,0.88,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-24,2510,1.587,1.943,-0.87,开放申购,开放赎回,
gp,100038,富国沪深300指数增强,2020-04-23,2510,1.601,1.957,-0.19,开放申购,开放赎回,
