2020-01-02,1.553662,1.488727,1.606447
2019-12-31,1.553181,1.488247,1.605966
2019-12-30,1.552700,1.487766,1.605485
2019-12-27,1.552219,1.487285,1.605004
2019-12-26,1.551738,1.486804,1.604524
2019-12-25,1.551257,1.486323,1.604043
2019-12-24,1.550777,1.485842,1.603562
2019-12-23,1.550296,1.485361,1.603081
2019-12-20,1.549815,1.484881,1.602600
2019-12-19,1.549334,1.484400,1.602119
2019-12-18,1.548853,1.483919,1.601639
2019-12-17,1.548372,1.483438,1.601158
2019-12-16,1.547892,1.482957,1.600677
2019-12-13,1.547411,1.482476,1.600196
2019-12-12,1.546930,1.481996,1.599715
2019-12-11,1.546449,1.481515,1.599234
2019-12-10,1.545968,1.481034,1.598753
2019-12-09,1.545487,1.480553,1.598273
2019-12-06,1.545006,1.480072,1.597792
2019-12-05,1.544526,1.479591,1.597311
2019-12-04,1.544045,1.479110,1.596830
2019-12-03,1.543564,1.478630,1.596349
2019-12-02,1.543083,1.478149,1.595868
2019-11-29,1.542602,1.477668,1.595387
2019-11-28,1.542121,1.477187,1.594907
2019-11-27,1.541640,1.476706,1.594426
2019-11-26,1.541160,1.476225,1.593945
2019-11-25,1.540679,1.475744,1.593464
2019-11-22,1.540198,1.475264,1.592983
2019-11-21,1.539717,1.474783,1.592502
2019-11-20,1.539236,1.474302,1.592022
2019-11-19,1.538755,1.473821,1.591541
2019-11-18,1.538275,1.473340,1.591060
2019-11-15,1.537794,1.472859,1.590579
2019-11-14,1.537313,1.472379,1.590098
2019-11-13,1.536832,1.471898,1.589617
2019-11-12,1.536351,1.471417,1.589136
2019-11-11,1.535870,1.470936,1.588656
2019-11-08,1.535389,1.470455,1.588175
2019-11-07,1.534909,1.469974,1.587694
2019-11-06,1.534428,1.469493,1.587213
2019-11-05,1.533947,1.469013,1.586732
2019-11-04,1.533466,1.468532,1.586251
2019-11-01,1.532985,1.468051,1.585770
2019-10-31,1.532504,1.467570,1.585290
2019-10-30,1.532023,1.467089,1.584809
